id,title,type,author,author_id,publisher,image,date,link
28945,"프로그 (개정판, 완결)",웹툰,"메리 카메,팀 가이아",,조아라,http://www.komacon.kr/archive_data/attach/360000/364637/9507.jpg,2017.05.11~2017.05.11,http://webtoon.joara.com/pc/comic/detail/290
28949,내가 안했어요,웹툰,"민형,김준석",,"조아라, 다음, 무툰, 이코믹스. 배틀코믹스,조아라, 다음, 무툰, 이코믹스. 배틀코믹스, 케이툰, 원스토어",http://www.komacon.kr/archive_data/attach/360000/364641/9516.jpg,2017.03.20~2017.03.28,http://webtoon.joara.com/pc/comic/detail/217
28946,기담,웹툰,구구,,원스토어,http://www.komacon.kr/archive_data/attach/360000/364639/9510.jpg,2017.04.17~2017.04.17,http://m.onestore.co.kr/mobilepoc/webtoon/webtoonList.omp?prodId=H029967352&menuId=DP26003
29059,한집 두 살림,웹툰,율서,,"애니툰,코미코, 레진코믹스,",http://www.komacon.kr/archive_data/attach/360000/364649/9545.jpg,2017.07.27~2017.07.27,http://www.anytoon.co.kr/webtoon.htm?ind=1525&ct01=연재&ct02=&ctMenu=&day=4&genre=
29057,개싸가지,웹툰,Team SDE,,탑툰,http://www.komacon.kr/archive_data/attach/360000/364647/9543.jpg,2014. 10. 1. ~ 2015. 6. 11.,https://toptoon.com/comic/ep_list/badman
29058,신입 길들이기,웹툰,도깨비곳간,,조아라,http://www.komacon.kr/archive_data/attach/360000/364648/9544.jpg,2016-12-27~2017-07-30,http://webtoon.joara.com/pc/comic/detail/75
29060,신입 길들이기,웹툰,,,,/assets/img/cover_not1.png,-,
29825,통 시즌 2(비밀),웹툰,"민,백승훈",,"탑코(탑툰),투믹스,조아라,원스토어",http://www.komacon.kr/archive_data/attach/360000/364642/9519.jpg,2017-02-01~2017-02-01,http://webtoon.joara.com/pc/comic/detail/156
29826,통 시즌 1,웹툰,"민,백승훈",,"조아라,원스토어",http://www.komacon.kr/archive_data/attach/360000/364643/9523.jpg,2016-02-01~2016-02-01,http://webtoon.joara.com/pc/comic/detail/150
29061,한집 두 살림,웹툰,,,,http://www.komacon.kr/archive_data/attach/360000/364649/9545.jpg,2017.07.27~2017.07.27,http://www.anytoon.co.kr/webtoon.htm?ind=1525&ct01=연재&ct02=&ctMenu=&day=4&genre=
29833,키메이커: 작업의 신,웹툰,"이단,G.D",,"조아라, 탑텐",http://www.komacon.kr/archive_data/attach/360000/364646/9541.jpg,2016-01-01~2017-08-02,http://webtoon.joara.com/pc/comic/detail/112
30373,슬레이어 -말년해병록-,웹툰,전갈이,,조아라,http://www.komacon.kr/archive_data/attach/360000/364636/9504.jpg,2016-01-01~2017-05-21,http://webtoon.joara.com/pc/comic/detail/110
30370,모르페우스,웹툰,노명희,,"조아라,애니툰",http://www.komacon.kr/archive_data/attach/360000/364633/9500.jpg,2017-05-31~2017-05-31,http://www.anytoon.co.kr/webtoon.htm?ind=687&ct01=완결&ct02=&ctMenu=&day=&genre=
30371,판타지아 세차장,웹툰,"분홍곰,킹탱",,봄툰,http://www.komacon.kr/archive_data/attach/360000/364634/9501.jpg,2016.06.16~2016.06.16,http://www.bomtoon.com/comic/ep_list/fantasia
30368,라쿤아 도와줘,웹툰,라생,,조아라,http://www.komacon.kr/archive_data/attach/360000/364631/9480.jpg,2017.03.20~2017.03.20,http://webtoon.joara.com/pc/comic/detail/211
30369,황제를 유혹하는법,웹툰,라생,,조아라,http://www.komacon.kr/archive_data/attach/360000/364632/9482.jpg,2017.02.01~2017.02.01,http://webtoon.joara.com/pc/comic/detail/169
